,Name,Website,Industry,Country,Funding_amount_usd,Funding_type,Last_funding_date
66,Tianjin Nankai Hecheng Technology Co.,www.tjhecheng.com,"Manufacturing, Biotechnology",China,"$27,404,393",Series B,Jan 2025
67,MetaLenX,www.metalenx.com,"Manufacturing, Electronics, Materials",China,"$13,702,196",Series A,Jan 2025
68,Queen of Wraps,www.queenofwraps.com,Marketing,United States,,Private Equity,Jan 2025
69,Adlytica,adlytica.com,"Marketing, Artificial Intelligence, Analytics",United States,,Seed,Jan 2025
70,Rembrand,www.rembrand.com,"Marketing, Artificial Intelligence, Virtual Reality",United States,"$23,000,000",Series A,Jan 2025
71,Munice,munice.com,"Real Estate, Property Management",United States,"$1,493,744",Seed,Jan 2025
72,Flo Mobility,flomobility.com,Robotics,India,,Seed,Jan 2025
73,Comau,comau.com,Robotics,Italy,,Private Equity,Jan 2025
74,Precise TV,www.precise.tv,"Advertising, Artificial Intelligence",United Kingdom,"$26,307,581",Private Equity,Jan 2025
75,Firehawk Aerospace,www.firehawkaerospace.com,Aerospace,United States,"$60,000,000",Series B,Jan 2025
76,Interstellar Technologies,www.istellartech.com,Aerospace,Japan,"$44,240,470",Series F,Jan 2025
77,Karman Industries,www.karmanindustries.com,Aerospace,United States,"$7,500,000",Venture - Series Unknown,Jan 2025
78,Phase Four,www.phasefour.io,Aerospace,United States,,Series C,Jan 2025
79,HiFeed,www.hifeed.co,Agriculture,Indonesia,,Pre-Seed,Jan 2025
80,Inari,www.inari.com,Agriculture,United States,"$144,000,000",Series G,Jan 2025
81,Fermata,fermata.tech,"Agriculture, Artificial Intelligence",Israel,"$10,000,000",Series A,Jan 2025
82,WayCool,waycool.in,"Agriculture, Food and Beverage",India,"$4,447,087",Venture - Series Unknown,Jan 2025
83,iGrow News,igrownews.com,"Agriculture, Media",United States,,Seed,Jan 2025
84,VAM,www.vam-watertech.com,"Agriculture, Utilities",The Netherlands,,Private Equity,Jan 2025
85,MBI Companies,www.mbicompanies.com,Architecture,United States,,Private Equity,Jan 2025
86,Edgecom Energy,edgecom.ai,Artificial Intelligence,Canada,,Venture - Series Unknown,Jan 2025
87,Lumi360,lumi360.ai,Artificial Intelligence,,"$20,000",Pre-Seed,Jan 2025
88,OpenFunnel,openfunnel.dev,Artificial Intelligence,United States,"$1,300,000",Pre-Seed,Jan 2025
89,Ozak AI,ozak.ai,Artificial Intelligence,,"$150,000",Initial Coin Offering,Jan 2025
90,SoSoValue,sosovalue.com,Artificial Intelligence,,"$15,000,000",Series A,Jan 2025
91,Stellar,www.getstellar.ai,Artificial Intelligence,United States,"$2,700,000",Seed,Jan 2025
92,VitVio,www.vitvio.com,Artificial Intelligence,United Kingdom,,Pre-Seed,Jan 2025
93,Behavix Inc.,behavix.io,"Artificial Intelligence, Analytics",Finland,"$1,656,661",Seed,Jan 2025
94,Nichefire,nichefire.com,"Artificial Intelligence, Analytics",United States,"$2,600,000",Seed,Jan 2025
95,Rhygaze,rhygaze.com,"Artificial Intelligence, Analytics",Switzerland,"$86,000,000",Series A,Jan 2025
96,RZOLUT,www.rzolut.com,"Artificial Intelligence, Analytics",Singapore,"$1,250,000",Seed,Jan 2025
97,Metis Augmented Intelligence,www.metis-intelligence.com,"Artificial Intelligence, Analytics, Augmented Reality",Israel,,Private Equity,Jan 2025
98,Innovaccer,www.innovaccer.com,"Artificial Intelligence, Cloud Computing, Data, Analytics",United States,"$275,000,000",Series F,Jan 2025
99,Hypersoniq,hypersoniqtech.com,"Artificial Intelligence, Data",The Netherlands,"$1,135,023",Seed,Jan 2025
